Restaurant Link,Restaurant ID,Category,Dish Name,Dish Price,Location
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Spreads & Salads,Best Seller,$16.95,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Mains,Best Seller,$17.00,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Mains,Beef Kebab,$22.00,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Mains,Omani Shrimp,$19.00,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Shawarmas,Vegetable Shawarma,$16.00,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Sides,Brussels Sprouts,$10.00,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Sides,Sauce Trio,$3.00,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Kids,Chicken Tenders,$6.00,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Kids,Mac & Cheese,$6.00,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Desserts,Hungry Gnome Sea Salt Chocolate Chip Cookie,$4.50,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Desserts,Hungry Gnome Dark & White Chocolate Toffee Cookie,$4.50,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Desserts,Chocolatier Killer Brownie,$4.00,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Desserts,Peanut Butter Killer Brownie,$6.00,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Desserts,Dana's Bakery Brown Butter Krisp Bar,$7.00,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Desserts,Dana's Bakery Cookies & Creme Krisp Bar,$7.00,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Desserts,Magnolia Bakery Cupcake Duo,$8.75,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Desserts,Dick Taylor Fleur de Sel Dark Chocolate,$8.00,maydan-by-wonder-uws-2030-broadway-new-york
https://www.grubhub.com/restaurant/maydan-by-wonder-uws-2030-broadway-new-york/5787496,5787496,Beverages,Harney & Sons Lemonade,$3.50,maydan-by-wonder-uws-2030-broadway-new-york
