Restaurant_Link,Restaurant_ID,Dish_Category,Dish_Name,Dish_Price,Location
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Eat Street NYC Smash Burger,$7.80+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Quick Bites,Eat Street BBQ pork,$9.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,No Meat All Heat Sandwich,$16.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Classic Chicken Cutlet Sandwich,$18.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Eat Street Chicken Cutlet Sandwich,$18.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Eat Street Chicken Club,$18.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Italiano Special,$10.00+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,El Chappo,$14.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Firenzi,$10.00+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Classic Crispy BLT,$9.00+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Americano Sandwich,$9.00+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Eat Street BLT,$9.00+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Sweet Honey Sopps,$9.00+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Chicken Parm Pleaser Sandwich,$17.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Turkey & Swizz,$9.00+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Hamming and Jammin Sandwich,$18.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Truffaly Mort Sandwich,$17.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Turkey Pesto Sandwich,$12.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Cripsy Tuna Sandwich,$11.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,All Actions,$9.00+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,All Action No Bronson Sandwich,$17.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Chicken Little,$10.00+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Sunset Grillin,$10.00+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Shrimp Parm,$14.00+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,The Best Eggplant Parm,$8.00+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Boujee Sandwiches + Wraps,Chicken Parm,$9.00+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Soups + Salads,Mama's Chicken Noodle Soup,$8.00+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Soups + Salads,Split Pea Soup,$8.00+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Soups + Salads,Roasted Tomato Soup + Grilled Cheese,$13.00+,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Soups + Salads,Sunset Park Fiesta Salad,$15.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Soups + Salads,Chopped Italian Salad,$17.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Soups + Salads,Brooklyn Waldorf Salad,$17.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Soups + Salads,Hot Girl Summer Salad,$15.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Soups + Salads,Classic Caesar Salad,$14.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Soups + Salads,Frio Chica Salad,$15.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Soups + Salads,Create Your Own Salad,$14.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Soups + Salads,Half a Sandwich and Soup,$16.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Soups + Salads,Half Sandwich and Salad,$16.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Soups + Salads,Salad and Soup,$14.00,eat-street-nyc-887-5th-avenue-brooklyn
https://www.grubhub.com/restaurant/eat-street-nyc-887-5th-avenue-brooklyn/6620528,6620528,Baked Goodies,Eat St. Cookie House,$3.00+,eat-street-nyc-887-5th-avenue-brooklyn
