Restaurant_Link,Restaurant_ID,Name,Ratings,Cuisine
https://www.grubhub.com/restaurant/bakers-dozen-bagels-8109-lefferts-blvd-kew-gardens/89086,89086,Baker's Dozen Bagels,1727 ratings,Bagel
https://www.grubhub.com/restaurant/brooklyn-natural-market--cafe-810-washington-ave-brooklyn/331220,331220,Brooklyn Natural Market & Cafe,2439 ratings,Convenience
https://www.grubhub.com/restaurant/bagel-villa-7221-5th-ave-brooklyn/3213364,3213364,Bagel Villa,807 ratings,Bagel
https://www.grubhub.com/restaurant/applebees-neighborhood-grill--bar-139-flatbush-ave-brooklyn/7556400,7556400,Applebee's Neighborhood Grill + Bar,25 ratings,Hamburger
https://www.grubhub.com/restaurant/thats-a-wrap-1708-broadway-brooklyn/7466784,7466784,Thats a Wrap,NA,Breakfast
https://www.grubhub.com/restaurant/smokin-burger-grille-618-north-ave-new-rochelle/6894584,6894584,Smokin' Burger Grille,NA,Hamburger
https://www.grubhub.com/restaurant/dirty-burger-101-guyon-ave-staten-island/3038403,3038403,Dirty Burger,43 ratings,Hamburger
https://www.grubhub.com/restaurant/happy-bowls---astor-place-61-4th-ave-new-york/515829,515829,Happy Bowls - Astor Place,1189 ratings,Breakfast
https://www.grubhub.com/restaurant/subs-a-licious-130-9th-ave-new-york/7575240,7575240,Subs a Licious,NA,Sandwich
https://www.grubhub.com/restaurant/bag-n-wich-union-tpke-11040-1564-union-tpke-north-new-hyde-park/5825192,5825192,Bag-n-wich Union Tpke 11040,NA,Bagel
https://www.grubhub.com/restaurant/cj-cafe---utica-817-utica-ave-brooklyn/3154207,3154207,CJ Cafe - Utica,38 ratings,American
https://www.grubhub.com/restaurant/levain-bakery-1484-3rd-ave-new-york/6038712,6038712,Levain Bakery,438 ratings,Dessert
https://www.grubhub.com/restaurant/little-italy-pizza-671-8th-ave-new-york/5270768,5270768,Little Italy Pizza,47 ratings,Pizza
https://www.grubhub.com/restaurant/smile-to-go-23-lexington-ave-new-york/2490812,2490812,Smile To Go,73 ratings,Breakfast
https://www.grubhub.com/restaurant/thai-mis-delicias-truck-2-130-5th-ave-new-york/835135,835135,Thai Mis Delicias Truck #2,87 ratings,Asian
https://www.grubhub.com/restaurant/3-towns-cafe-25-68-francis-lewis-boulevard-queens/5996816,5996816,3 Towns Cafe,8 ratings,American
https://www.grubhub.com/restaurant/happyboards-cheese--charcuterie-196-stanton-st-new-york/3164816,3164816,HappyBoards Cheese & Charcuterie,29 ratings,Dessert
https://www.grubhub.com/restaurant/rockaway-express-deli-114-02-rockaway-blvd-south-ozone-park/2490015,2490015,Rockaway Express Deli,51 ratings,Hamburger
https://www.grubhub.com/restaurant/bagels-r-us-4300-amboy-rd-staten-island/2617180,2617180,Bagels r us,141 ratings,Bagel
https://www.grubhub.com/restaurant/applejack-diner-1725-broadway-ave-new-york/65547,65547,Applejack Diner,380 ratings,Hamburger
https://www.grubhub.com/restaurant/main-street-coffee-173-main-st-staten-island/2560867,2560867,Main Street Coffee,153 ratings,Breakfast
https://www.grubhub.com/restaurant/highridge-bagel-factory-1805-central-park-ave-yonkers/5707272,5707272,Highridge Bagel Factory,191 ratings,Bagel
